name,stars,branch,commit
NanoHttpd@nanohttpd,6428,master,efb2ebf85a2b06f7c508aba9eaad5377e3a01e81
GrenderG@Toasty,6413,master,1d9a280da12a1182d4d132a038122d4817348d62
karatelabs@karate,6398,master,925eebb3dfbd7f3ac7a39d11ad43720107bf2a2f
apache@storm,6396,master,5e110961a31a6fa33c9c0b54b84aedfdc442593f
trinodb@trino,6395,master,aef32af28f88d08a8f91c26d8c3693ba67b1088e
react-native-svg@react-native-svg,6392,main,6a5242f00b38441dc29d947ffde852315e90d4fd
zendesk@android-floating-action-button,6379,master,639063555c5416e0d38980f38a34130494a30fc5
LawnchairLauncher@lawnchair,6377,12.1-dev,dbd09c73cdf2fee4d31b9a439c4927e7cc729abf
vinc3m1@RoundedImageView,6355,main,344228d5f8ad7dc6d5e351bd6c86263be7c31eb3
react-native-video@react-native-video,6338,master,8b09cb58dfd55d2a6351965be0de33ced994a136
apache@tomcat,6317,main,cbae1671687d29e63d5e2f3cc54f0a24671e0855
koush@ion,6304,master,2e48671fb865e993f714b5ffed16e82aed6d04fb
Graylog2@graylog2-server,6301,master,200a62deb737f560407c56edf54fd5ceadf1cf78
processing@processing,6263,master,8b15e4f548c1426df3a5ebe4c2106619faf7c4ba
guardianproject@haven,6254,master,1e070fb21bff3e7886fa8faf05863794bd0a28d1
bytedeco@javacv,6236,master,7175b795ae05fbbae46ce8e3d6feedb6005699c2
google@error-prone,6178,master,7db3f74884cbcf9bfd0f96826405c1aeb86c5d29
real-logic@aeron,6178,master,9fc9a9226109a8a0c4c0caa9cce4032e2f0f907b
ArthurHub@Android-Image-Cropper,6171,master,2a4a425668bfff1329dd5bfb1b80b0829bb4cc67
ikew0ng@SwipeBackLayout,6141,master,7c6b0ac424813266cec57db86d65a7c9d9ff5fa6
pentaho@pentaho-kettle,6127,master,ae19f4203451eadb8ce08602d4c714547a70d771
rengwuxian@MaterialEditText,6118,master,f6e9fa42213cda552764c2a63f93a1464fa91d04
rest-assured@rest-assured,6077,master,7a40b9c1cfd432d0ca9d4bd63c84dff180f3c44e
rabbitmq@rabbitmq-tutorials,6055,main,f8a31966bc96a1108bfbcb216de7d5f57e350b33
rey5137@material,6037,master,b06373bf1dca194811c6e5374f5380cf04cfc859
pedrovgs@EffectiveAndroidUI,6035,master,4249edce6180274156e5bcdf21191890f1c3b42c
google@physical-web,6034,master,12604319e99b6d6dff451fc5a58a13a271f1dc7a
daimajia@NumberProgressBar,6017,master,c63171bd053adcf287659e16440bd6efd834a795
AsyncHttpClient@async-http-client,6014,master,c959fa0483adb4a71fbccc5be94d8b6faa4f74be
sshahine@JFoenix,6008,master,a1be87d91d578e7799bc308b3b1bbe1d742a020d
singwhatiwanna@dynamic-load-apk,5977,master,bbd3bfa84c3a26cc89615a7539aef3ac4e9491e5
apache@beam,5974,master,ead2d2e8025874ad5c3f09ea0fda06caf027e18c
antoniolg@androidmvp,5961,master,b7056a68806f723885c4c0e83853b7fdfc34e9ce
mrniko@netty-socketio,5950,master,413ffc005fb775efe47f9e8dbff0f5f7f0248180
wyouflf@xUtils3,5945,master,c8e6fd6623e916ceb22ad37cd9cef2e5344ffc70
Alluxio@alluxio,5927,master,5de0314361277a76b4e48dacbe7dc7a9b1f63773
wasabeef@richeditor-android,5918,master,ce152b910a59c66863baa68b007ac67e6b9de671
opensearch-project@OpenSearch,5909,main,8c9ca4e858e6333265080972cf57809dbc086208
google@j2objc,5897,master,af7fac8dc89338b421f4a722da9952552602b24f
joelittlejohn@jsonschema2pojo,5868,master,2d55620ac925ff7406f2982a2c37d49a6697cd20
apache@zeppelin,5845,master,c74ffa262edd542f70d1917a7ef10fa7313e91dc
weibocom@motan,5814,master,05ac4c812c3388328b765371d9d70d5aabf140c4
prolificinteractive@material-calendarview,5813,master,04fae8175fd034d0a7131f8cb253cae883a88aa2
frohoff@ysoserial,5806,master,2874a69f6127fd3b3f078461741910423a6b1376
MinecraftForge@MinecraftForge,5802,1.19.x,526c13d662120d42c879c7b482095950a548b7bf
alibaba@transmittable-thread-local,5801,master,9ed3d23fbce9a6a60276cff362cfce79f2680541
flowable@flowable-engine,5777,main,e0e71204586436b908b27ebf837b9ced235963b4
MindorksOpenSource@from-java-to-kotlin,5771,master,e33e2d744ba459e076fcbd25284b059d50efa9bf
Nightonke@BoomMenu,5767,master,e20b5ea52d67679968c6950b40fb7430f574cb71
lightbend@config,5765,main,4458ea947a7a2a668bb811a122455f1f05975172
springside@springside4,5760,master,8950746bb53ce209b4cb5d2d1706712e9c6a0efc
Devlight@InfiniteCycleViewPager,5722,master,1038d36cec95c06c3b9b71223c319af7994b9d24
JakeWharton@DiskLruCache,5709,master,3e016356cfc7e5f9644a7a732fe0223e9742e024
JakeWharton@u2020,5707,master,af670f964a4750707d98cda31cfa95244eb3ec07
springfox@springfox,5703,master,ab5868471cdbaf54dac01af12933fe0437cf2b01
lets-blade@blade,5698,v2.1.3,b06620a26c415d27387bebdaedd29d74a6357f0d
google@grafika,5690,master,b1df331e89cffeab621f02b102d4c2c25eb6088a
mapstruct@mapstruct,5670,main,a5d3542c24419ff2a66132f3ce2bae12182e3ac0
daimajia@AndroidImageSlider,5649,master,e318cabdef668de985efdcc45ca304e2ac6f58b5
graphql-java@graphql-java,5648,master,4024420ace5d4cd44af3b9a035a8b35dee45be1b
k0shk0sh@FastHub,5630,development,fb7053da2079b624d6129ef81370a9d5774bcb9a
yarolegovich@DiscreteScrollView,5629,master,a3a22d76c38e28cb03b45629b93e4ac03ce6fcc9
Meituan-Dianping@Leaf,5628,master,86a6441d263497b9f9ee321de13422b9c63f0c06
JesusFreke@smali,5627,master,2771eae0a11f07bd892732232e6ee4e32437230d
dmytrodanylyk@circular-progress-button,5617,master,5be6b0ec2d89eae9abb7d8fb5b5197d60ba47733
nhaarman@ListViewAnimations,5614,master,23617960178fb5af3099c07996569cc305a40945
haifengl@smile,5609,master,caf8dda436dd7e316964e5bf858b9299f1c62218
amlcurran@ShowcaseView,5600,master,c8db06f8252354fd33564c2e04e49a72593f4322
robolectric@robolectric,5549,master,e28374430bde87c64f10992e7e411201dfe7997e
emilsjolander@StickyListHeaders,5523,master,cec8d6a6ddfc29c530df5864794a5a0a2d2f3675
micronaut-projects@micronaut-core,5511,4.0.x,3d7dc765538b63ccc80b14d88523c28425c0f3ef
sockeqwe@mosby,5498,master,c234625fdfb46ce7fe2a0695a6272953db20865f
alibaba@freeline,5494,master,818e5de64f630a4c506499d7208b761061cb9d1f
facebookarchive@rebound,5465,master,65f155c6cf4e7594da636b2ab5215067e24da6ae
amitshekhariitbhu@Fast-Android-Networking,5463,master,0fb7a77af0c1657c8de9ffe8353415a1d44ec68c
junit-team@junit5,5458,main,d71e4a43a9c14496f08c063fec3353e89ba68eb5
